BlockNumber,CallModule,CallFunction
196226,Treasury,UpdatedInactive
196243,Balances,Withdraw
196243,Vector,HeadUpdated
196243,Balances,Deposit
196243,Treasury,Deposit
196243,Balances,Deposit
196243,TransactionPayment,TransactionFeePaid
196244,Treasury,UpdatedInactive
196256,Balances,Withdraw
196256,Vector,HeadUpdated
196256,Balances,Deposit
196256,Treasury,Deposit
196256,Balances,Deposit
196256,TransactionPayment,TransactionFeePaid
196257,Treasury,UpdatedInactive
196274,Balances,Withdraw
196274,Balances,Transfer
196274,Utility,ItemCompleted
196274,Utility,BatchCompleted
196274,Balances,Deposit
196274,Treasury,Deposit
196274,Balances,Deposit
196274,TransactionPayment,TransactionFeePaid
196275,Treasury,UpdatedInactive
196287,Balances,Withdraw
196287,Vector,HeadUpdated
196287,Balances,Deposit
196287,Treasury,Deposit
196287,Balances,Deposit
196287,TransactionPayment,TransactionFeePaid
196288,Treasury,UpdatedInactive
196289,Balances,Withdraw
196289,Balances,Transfer
196289,Utility,ItemCompleted
196289,Utility,BatchCompleted
196289,Balances,Deposit
196289,Treasury,Deposit
196289,Balances,Deposit
196289,TransactionPayment,TransactionFeePaid
196290,Treasury,UpdatedInactive
196302,Balances,Withdraw
196302,Vector,HeadUpdated
196302,Balances,Deposit
196302,Treasury,Deposit
196302,Balances,Deposit
196302,TransactionPayment,TransactionFeePaid
196303,Treasury,UpdatedInactive
196317,Balances,Withdraw
196317,Vector,HeadUpdated
196317,Balances,Deposit
196317,Treasury,Deposit
196317,Balances,Deposit
196317,TransactionPayment,TransactionFeePaid
196318,Treasury,UpdatedInactive
196346,Balances,Withdraw
196346,Vector,HeadUpdated
196346,Balances,Deposit
196346,Treasury,Deposit
196346,Balances,Deposit
196346,TransactionPayment,TransactionFeePaid
196347,Treasury,UpdatedInactive
196362,Balances,Withdraw
196362,Vector,HeadUpdated
196362,Balances,Deposit
196362,Treasury,Deposit
196362,Balances,Deposit
196362,TransactionPayment,TransactionFeePaid
196363,Treasury,UpdatedInactive
196376,Balances,Withdraw
196376,Vector,HeadUpdated
196376,Balances,Deposit
196376,Treasury,Deposit
196376,Balances,Deposit
196376,TransactionPayment,TransactionFeePaid
196377,Treasury,UpdatedInactive
196388,Balances,Withdraw
196388,Balances,Transfer
196388,Utility,ItemCompleted
196388,Utility,BatchCompleted
196388,Balances,Deposit
196388,Treasury,Deposit
196388,Balances,Deposit
196388,TransactionPayment,TransactionFeePaid
196389,Treasury,UpdatedInactive
196390,Balances,Withdraw
196390,DataAvailability,DataSubmitted
196390,Balances,Deposit
196390,Treasury,Deposit
196390,Balances,Deposit
196390,TransactionPayment,TransactionFeePaid
196391,Treasury,UpdatedInactive
196392,Balances,Withdraw
196392,Vector,HeadUpdated
196392,Balances,Deposit
196392,Treasury,Deposit
196392,Balances,Deposit
196392,TransactionPayment,TransactionFeePaid
196393,Treasury,UpdatedInactive
196422,Balances,Withdraw
196422,Vector,HeadUpdated
196422,Balances,Deposit
196422,Treasury,Deposit
196422,Balances,Deposit
196422,TransactionPayment,TransactionFeePaid
196423,Treasury,UpdatedInactive
196438,Balances,Withdraw
196438,Vector,HeadUpdated
196438,Balances,Deposit
196438,Treasury,Deposit
196438,Balances,Deposit
196438,TransactionPayment,TransactionFeePaid
196439,Treasury,UpdatedInactive
196445,Balances,Withdraw
196445,Balances,Endowed
196445,Balances,Transfer
196445,Utility,ItemCompleted
196445,Utility,BatchCompleted
196445,Balances,Deposit
196445,Treasury,Deposit
196445,Balances,Deposit
196445,TransactionPayment,TransactionFeePaid
196446,Treasury,UpdatedInactive
196452,Balances,Withdraw
196452,Vector,HeadUpdated
196452,Balances,Deposit
196452,Treasury,Deposit
196452,Balances,Deposit
196452,TransactionPayment,TransactionFeePaid
196453,Treasury,UpdatedInactive
196481,Balances,Withdraw
196481,Vector,HeadUpdated
196481,Balances,Deposit
196481,Treasury,Deposit
196481,Balances,Deposit
196481,TransactionPayment,TransactionFeePaid
196482,Treasury,UpdatedInactive
196497,Balances,Withdraw
196497,Vector,HeadUpdated
196497,Balances,Deposit
196497,Treasury,Deposit
196497,Balances,Deposit
196497,TransactionPayment,TransactionFeePaid
196498,Treasury,UpdatedInactive
196512,Balances,Withdraw
196512,Vector,HeadUpdated
196512,Balances,Deposit
196512,Treasury,Deposit
196512,Balances,Deposit
196512,TransactionPayment,TransactionFeePaid
196513,Treasury,UpdatedInactive
196515,ImOnline,AllGood
196515,Session,NewSession
196527,Balances,Withdraw
196527,Vector,HeadUpdated
196527,Balances,Deposit
196527,Treasury,Deposit
196527,Balances,Deposit
196527,TransactionPayment,TransactionFeePaid
196528,Treasury,UpdatedInactive
196556,Balances,Withdraw
196556,Balances,Transfer
196556,Utility,ItemCompleted
196556,Utility,BatchCompleted
196556,Balances,Deposit
196556,Treasury,Deposit
196556,Balances,Deposit
196556,TransactionPayment,TransactionFeePaid
196557,Treasury,UpdatedInactive
196557,Balances,Withdraw
196557,Vector,HeadUpdated
196557,Balances,Deposit
196557,Treasury,Deposit
196557,Balances,Deposit
196557,TransactionPayment,TransactionFeePaid
196558,Treasury,UpdatedInactive
196565,Balances,Withdraw
196565,Balances,Transfer
196565,Utility,ItemCompleted
196565,Utility,BatchCompleted
196565,Balances,Deposit
196565,Treasury,Deposit
196565,Balances,Deposit
196565,TransactionPayment,TransactionFeePaid
196566,Treasury,UpdatedInactive
196570,Balances,Withdraw
196570,DataAvailability,DataSubmitted
196570,Balances,Deposit
196570,Treasury,Deposit
196570,Balances,Deposit
196570,TransactionPayment,TransactionFeePaid
196571,Treasury,UpdatedInactive
196571,Balances,Withdraw
196571,Vector,HeadUpdated
196571,Balances,Deposit
196571,Treasury,Deposit
196571,Balances,Deposit
196571,TransactionPayment,TransactionFeePaid
196572,Treasury,UpdatedInactive
196588,Balances,Withdraw
196588,Vector,HeadUpdated
196588,Balances,Deposit
196588,Treasury,Deposit
196588,Balances,Deposit
196588,TransactionPayment,TransactionFeePaid
196589,Treasury,UpdatedInactive
196589,ImOnline,HeartbeatReceived
196602,Balances,Withdraw
196602,Vector,HeadUpdated
196602,Balances,Deposit
196602,Treasury,Deposit
196602,Balances,Deposit
196602,TransactionPayment,TransactionFeePaid
196603,Treasury,UpdatedInactive
196606,ImOnline,HeartbeatReceived
196632,Balances,Withdraw
196632,Vector,HeadUpdated
196632,Balances,Deposit
196632,Treasury,Deposit
196632,Balances,Deposit
196632,TransactionPayment,TransactionFeePaid
196633,Treasury,UpdatedInactive
196638,ImOnline,HeartbeatReceived
196645,ImOnline,HeartbeatReceived
196647,Balances,Withdraw
196647,Vector,HeadUpdated
196647,Balances,Deposit
196647,Treasury,Deposit
196647,Balances,Deposit
196647,TransactionPayment,TransactionFeePaid
196648,Treasury,UpdatedInactive
196654,ImOnline,HeartbeatReceived
196657,ImOnline,HeartbeatReceived
196662,Balances,Withdraw
196662,Vector,HeadUpdated
196662,Balances,Deposit
196662,Treasury,Deposit
196662,Balances,Deposit
196662,TransactionPayment,TransactionFeePaid
196663,Treasury,UpdatedInactive
196673,ImOnline,HeartbeatReceived
196692,Balances,Withdraw
196692,Vector,HeadUpdated
196692,Balances,Deposit
196692,Treasury,Deposit
196692,Balances,Deposit
196692,TransactionPayment,TransactionFeePaid
196693,Treasury,UpdatedInactive
196700,ImOnline,HeartbeatReceived
196707,Balances,Withdraw
196707,Vector,HeadUpdated
196707,Balances,Deposit
196707,Treasury,Deposit
196707,Balances,Deposit
196707,TransactionPayment,TransactionFeePaid
196708,Treasury,UpdatedInactive
196720,ImOnline,HeartbeatReceived
196723,Balances,Withdraw
196723,Vector,HeadUpdated
196723,Balances,Deposit
196723,Treasury,Deposit
196723,Balances,Deposit
196723,TransactionPayment,TransactionFeePaid
196724,Treasury,UpdatedInactive
196749,ImOnline,HeartbeatReceived
196750,Balances,Withdraw
196750,DataAvailability,DataSubmitted
196750,Balances,Deposit
196750,Treasury,Deposit
196750,Balances,Deposit
196750,TransactionPayment,TransactionFeePaid
196751,Treasury,UpdatedInactive
196752,Balances,Withdraw
196752,Vector,HeadUpdated
196752,Balances,Deposit
196752,Treasury,Deposit
196752,Balances,Deposit
196752,TransactionPayment,TransactionFeePaid
196753,Treasury,UpdatedInactive
196767,Balances,Withdraw
196767,Vector,HeadUpdated
196767,Balances,Deposit
196767,Treasury,Deposit
196767,Balances,Deposit
196767,TransactionPayment,TransactionFeePaid
196768,Treasury,UpdatedInactive
196773,ImOnline,HeartbeatReceived
196782,Balances,Withdraw
196782,Vector,HeadUpdated
196782,Balances,Deposit
196782,Treasury,Deposit
196782,Balances,Deposit
196782,TransactionPayment,TransactionFeePaid
196783,Treasury,UpdatedInactive
196797,Balances,Withdraw
196797,Vector,HeadUpdated
196797,Balances,Deposit
196797,Treasury,Deposit
196797,Balances,Deposit
196797,TransactionPayment,TransactionFeePaid
196798,Treasury,UpdatedInactive
196827,Balances,Withdraw
196827,Vector,HeadUpdated
196827,Balances,Deposit
196827,Treasury,Deposit
196827,Balances,Deposit
196827,TransactionPayment,TransactionFeePaid
196828,Treasury,UpdatedInactive
196834,ImOnline,HeartbeatReceived
196835,Balances,Withdraw
196835,Balances,Transfer
196835,Utility,ItemCompleted
196835,Utility,BatchCompleted
196835,Balances,Deposit
196835,Treasury,Deposit
196835,Balances,Deposit
196835,TransactionPayment,TransactionFeePaid
196836,Treasury,UpdatedInactive
196842,Balances,Withdraw
196842,Vector,HeadUpdated
196842,Balances,Deposit
196842,Treasury,Deposit
196842,Balances,Deposit
196842,TransactionPayment,TransactionFeePaid
196843,Treasury,UpdatedInactive
196847,Balances,Withdraw
196847,Balances,Transfer
196847,Utility,ItemCompleted
196847,Utility,BatchCompleted
196847,Balances,Deposit
196847,Treasury,Deposit
196847,Balances,Deposit
196847,TransactionPayment,TransactionFeePaid
196848,Treasury,UpdatedInactive
196857,Balances,Withdraw
196857,Vector,HeadUpdated
196857,Balances,Deposit
196857,Treasury,Deposit
196857,Balances,Deposit
196857,TransactionPayment,TransactionFeePaid
196858,Treasury,UpdatedInactive
196871,Balances,Withdraw
196871,Vector,HeadUpdated
196871,Balances,Deposit
196871,Treasury,Deposit
196871,Balances,Deposit
196871,TransactionPayment,TransactionFeePaid
196872,Treasury,UpdatedInactive
196884,ImOnline,HeartbeatReceived
196902,Balances,Withdraw
196902,Vector,HeadUpdated
196902,Balances,Deposit
196902,Treasury,Deposit
196902,Balances,Deposit
196902,TransactionPayment,TransactionFeePaid
196903,Treasury,UpdatedInactive
196918,Balances,Withdraw
196918,Vector,HeadUpdated
196918,Balances,Deposit
196918,Treasury,Deposit
196918,Balances,Deposit
196918,TransactionPayment,TransactionFeePaid
196919,Treasury,UpdatedInactive
196922,ImOnline,HeartbeatReceived
196930,Balances,Withdraw
196930,DataAvailability,DataSubmitted
196930,Balances,Deposit
196930,Treasury,Deposit
196930,Balances,Deposit
196930,TransactionPayment,TransactionFeePaid
196931,Treasury,UpdatedInactive
196931,Balances,Withdraw
196931,Vector,HeadUpdated
196931,Balances,Deposit
196931,Treasury,Deposit
196931,Balances,Deposit
196931,TransactionPayment,TransactionFeePaid
196932,Treasury,UpdatedInactive
196949,Balances,Withdraw
196949,Balances,Endowed
196949,Balances,Transfer
196949,Utility,ItemCompleted
196949,Utility,BatchCompleted
196949,Balances,Deposit
196949,Treasury,Deposit
196949,Balances,Deposit
196949,TransactionPayment,TransactionFeePaid
196950,Treasury,UpdatedInactive
196961,Balances,Withdraw
196961,Vector,HeadUpdated
196961,Balances,Deposit
196961,Treasury,Deposit
196961,Balances,Deposit
196961,TransactionPayment,TransactionFeePaid
196962,Treasury,UpdatedInactive
196978,Balances,Withdraw
196978,Vector,HeadUpdated
196978,Balances,Deposit
196978,Treasury,Deposit
196978,Balances,Deposit
196978,TransactionPayment,TransactionFeePaid
196979,Treasury,UpdatedInactive
196991,Balances,Withdraw
196991,Vector,HeadUpdated
196991,Balances,Deposit
196991,Treasury,Deposit
196991,Balances,Deposit
196991,TransactionPayment,TransactionFeePaid
196992,Treasury,UpdatedInactive
197008,Balances,Withdraw
197008,Vector,HeadUpdated
197008,Balances,Deposit
197008,Treasury,Deposit
197008,Balances,Deposit
197008,TransactionPayment,TransactionFeePaid
197009,Treasury,UpdatedInactive
197037,Balances,Withdraw
197037,Vector,HeadUpdated
197037,Balances,Deposit
197037,Treasury,Deposit
197037,Balances,Deposit
197037,TransactionPayment,TransactionFeePaid
197038,Treasury,UpdatedInactive
197044,Balances,Withdraw
197044,Balances,Transfer
197044,Vector,MessageSubmitted
197044,Balances,Deposit
197044,Treasury,Deposit
197044,Balances,Deposit
197044,TransactionPayment,TransactionFeePaid
197045,Treasury,UpdatedInactive
197047,Balances,Withdraw
197047,Balances,Transfer
197047,Vector,MessageSubmitted
197047,Balances,Deposit
197047,Treasury,Deposit
197047,Balances,Deposit
197047,TransactionPayment,TransactionFeePaid
197048,Treasury,UpdatedInactive
197050,Balances,Withdraw
197050,Balances,Transfer
197050,Vector,MessageSubmitted
197050,Balances,Deposit
197050,Treasury,Deposit
197050,Balances,Deposit
197050,TransactionPayment,TransactionFeePaid
197051,Treasury,UpdatedInactive
197052,Balances,Withdraw
197052,Vector,HeadUpdated
197052,Balances,Deposit
197052,Treasury,Deposit
197052,Balances,Deposit
197052,TransactionPayment,TransactionFeePaid
197053,Treasury,UpdatedInactive
197067,Balances,Withdraw
197067,Vector,HeadUpdated
197067,Balances,Deposit
197067,Treasury,Deposit
197067,Balances,Deposit
197067,TransactionPayment,TransactionFeePaid
197068,Treasury,UpdatedInactive
197080,Balances,Withdraw
197080,Vector,HeadUpdated
197080,Balances,Deposit
197080,Treasury,Deposit
197080,Balances,Deposit
197080,TransactionPayment,TransactionFeePaid
197081,Treasury,UpdatedInactive
197110,Balances,Withdraw
197110,DataAvailability,DataSubmitted
197110,Balances,Deposit
197110,Treasury,Deposit
197110,Balances,Deposit
197110,TransactionPayment,TransactionFeePaid
197111,Treasury,UpdatedInactive
197114,Balances,Withdraw
197114,Balances,Transfer
197114,Utility,ItemCompleted
197114,Utility,BatchCompleted
197114,Balances,Deposit
197114,Treasury,Deposit
197114,Balances,Deposit
197114,TransactionPayment,TransactionFeePaid
197115,Treasury,UpdatedInactive
197115,Balances,Withdraw
197115,Vector,HeadUpdated
197115,Balances,Deposit
197115,Treasury,Deposit
197115,Balances,Deposit
197115,TransactionPayment,TransactionFeePaid
197116,Treasury,UpdatedInactive
197126,Balances,Withdraw
197126,Balances,Transfer
197126,Utility,ItemCompleted
197126,Utility,BatchCompleted
197126,Balances,Deposit
197126,Treasury,Deposit
197126,Balances,Deposit
197126,TransactionPayment,TransactionFeePaid
197127,Treasury,UpdatedInactive
197127,Balances,Withdraw
197127,Vector,HeadUpdated
197127,Balances,Deposit
197127,Treasury,Deposit
197127,Balances,Deposit
197127,TransactionPayment,TransactionFeePaid
197128,Treasury,UpdatedInactive
197129,Balances,Withdraw
197129,Balances,Endowed
197129,Balances,Transfer
197129,Utility,ItemCompleted
197129,Utility,BatchCompleted
197129,Balances,Deposit
197129,Treasury,Deposit
197129,Balances,Deposit
197129,TransactionPayment,TransactionFeePaid
197130,Treasury,UpdatedInactive
197141,Balances,Withdraw
197141,Vector,HeadUpdated
197141,Balances,Deposit
197141,Treasury,Deposit
197141,Balances,Deposit
197141,TransactionPayment,TransactionFeePaid
197142,Treasury,UpdatedInactive
197151,Balances,Withdraw
197151,Balances,Transfer
197151,Vector,MessageSubmitted
197151,Balances,Deposit
197151,Treasury,Deposit
197151,Balances,Deposit
197151,TransactionPayment,TransactionFeePaid
197152,Treasury,UpdatedInactive
197171,Balances,Withdraw
197171,Vector,HeadUpdated
197171,Balances,Deposit
197171,Treasury,Deposit
197171,Balances,Deposit
197171,TransactionPayment,TransactionFeePaid
197172,Treasury,UpdatedInactive
197172,Balances,Withdraw
197172,Utility,BatchInterrupted
197172,Balances,Deposit
197172,Balances,Deposit
197172,Treasury,Deposit
197172,Balances,Deposit
197172,TransactionPayment,TransactionFeePaid
197173,Treasury,UpdatedInactive
197185,Balances,Withdraw
197185,Vector,HeadUpdated
197185,Balances,Deposit
197185,Treasury,Deposit
197185,Balances,Deposit
197185,TransactionPayment,TransactionFeePaid
197186,Treasury,UpdatedInactive
197198,Balances,Withdraw
197198,Balances,Transfer
197198,Vector,MessageSubmitted
197198,Balances,Deposit
197198,Treasury,Deposit
197198,Balances,Deposit
197198,TransactionPayment,TransactionFeePaid
197199,Treasury,UpdatedInactive
197202,Balances,Withdraw
197202,Vector,HeadUpdated
197202,Balances,Deposit
197202,Treasury,Deposit
197202,Balances,Deposit
197202,TransactionPayment,TransactionFeePaid
197203,Treasury,UpdatedInactive
197216,Balances,Withdraw
197216,Vector,HeadUpdated
197216,Balances,Deposit
197216,Treasury,Deposit
197216,Balances,Deposit
197216,TransactionPayment,TransactionFeePaid
197217,Treasury,UpdatedInactive
197227,Balances,Withdraw
197227,Staking,PayoutStarted
197227,Balances,Deposit
197227,Staking,Rewarded
197227,Balances,Deposit
197227,Staking,Rewarded
197227,Balances,Deposit
197227,Balances,Locked
197227,Staking,Rewarded
197227,Balances,Deposit
197227,Balances,Deposit
197227,Treasury,Deposit
197227,Balances,Deposit
197227,TransactionPayment,TransactionFeePaid
197228,Treasury,UpdatedInactive
197228,Balances,Withdraw
197228,Balances,Transfer
197228,NominationPools,PaidOut
197228,Balances,Transfer
197228,Balances,Locked
197228,VoterList,ScoreUpdated
197228,Staking,Bonded
197228,NominationPools,Bonded
197228,Balances,Deposit
197228,Treasury,Deposit
197228,Balances,Deposit
197228,TransactionPayment,TransactionFeePaid
197229,Treasury,UpdatedInactive
197229,Balances,Withdraw
197229,Balances,Transfer
197229,NominationPools,PaidOut
197229,Balances,Transfer
197229,Balances,Locked
197229,VoterList,ScoreUpdated
197229,Staking,Bonded
197229,NominationPools,Bonded
197229,Balances,Deposit
197229,Treasury,Deposit
197229,Balances,Deposit
197229,TransactionPayment,TransactionFeePaid
197230,Treasury,UpdatedInactive
197235,ImOnline,AllGood
197235,Session,NewSession
197247,Balances,Withdraw
197247,Vector,HeadUpdated
197247,Balances,Deposit
197247,Treasury,Deposit
197247,Balances,Deposit
197247,TransactionPayment,TransactionFeePaid
197248,Treasury,UpdatedInactive
197258,Balances,Withdraw
197258,Balances,Transfer
197258,Utility,ItemCompleted
197258,Balances,Transfer
197258,Utility,ItemCompleted
197258,Utility,BatchCompleted
197258,Balances,Deposit
197258,Treasury,Deposit
197258,Balances,Deposit
197258,TransactionPayment,TransactionFeePaid
197259,Treasury,UpdatedInactive
197261,Balances,Withdraw
197261,Vector,HeadUpdated
197261,Balances,Deposit
197261,Treasury,Deposit
197261,Balances,Deposit
197261,TransactionPayment,TransactionFeePaid
197262,Treasury,UpdatedInactive
197276,Balances,Withdraw
197276,Vector,HeadUpdated
197276,Balances,Deposit
197276,Treasury,Deposit
197276,Balances,Deposit
197276,TransactionPayment,TransactionFeePaid
197277,Treasury,UpdatedInactive
197290,Balances,Withdraw
197290,DataAvailability,DataSubmitted
197290,Balances,Deposit
197290,Treasury,Deposit
197290,Balances,Deposit
197290,TransactionPayment,TransactionFeePaid
197291,Treasury,UpdatedInactive
197303,Balances,Withdraw
197303,Balances,Endowed
197303,Balances,Transfer
197303,Utility,ItemCompleted
197303,Utility,BatchCompleted
197303,Balances,Deposit
197303,Treasury,Deposit
197303,Balances,Deposit
197303,TransactionPayment,TransactionFeePaid
197304,Treasury,UpdatedInactive
197307,Balances,Withdraw
197307,Vector,HeadUpdated
197307,Balances,Deposit
197307,Treasury,Deposit
197307,Balances,Deposit
197307,TransactionPayment,TransactionFeePaid
197308,Treasury,UpdatedInactive
197316,Balances,Withdraw
197316,Staking,PayoutStarted
